date,equity
2026-01-09,119673.0392665487
2026-01-12,120116.20188255532
2026-01-13,120561.08428414253
2026-01-14,121023.4607730826
2026-01-15,121005.68430526521
2026-01-16,120668.44745759475
2026-01-19,120427.30237499715
2026-01-20,119947.87946842099
2026-01-21,120213.26337417598
2026-01-22,120091.17262716053
2026-01-23,120484.3124024556
2026-01-26,120516.8666975933
2026-01-27,120531.62288672959
2026-01-28,120419.24492682923
2026-01-29,120924.73388396902
2026-01-30,121366.54085629566
2026-02-02,121926.71225947862
2026-02-03,122396.46505533879
2026-02-04,123443.70788410534
2026-02-05,124304.08231681849
2026-02-06,124307.55053780416
2026-02-09,124154.62706229616
2026-02-10,123171.69294652561
2026-02-11,124512.46950806696
2026-02-12,124070.87370845402
2026-02-13,124367.95051102879
2026-02-16,124174.5098844489
2026-02-17,124038.69286191321
2026-02-18,125484.02624868727
2026-02-19,125676.73573637343
2026-02-20,126477.23211959405
2026-02-23,126576.94987569973
2026-02-24,126620.27695807481
2026-02-25,126229.27370208655
2026-02-26,127243.18284052607
2026-02-27,128194.95373198611
2026-03-02,127398.58864815207
2026-03-03,125024.37706962129
2026-03-04,125739.28430858297
2026-03-05,124456.49006234219
2026-03-06,123542.56438374602
2026-03-09,123270.89021663251
2026-03-10,125542.54863947399
2026-03-11,125052.03664311022
2026-03-12,124819.17085725875
2026-03-13,124456.14828813625
2026-03-16,125111.62160227989
2026-03-17,126295.41555854629
2026-03-18,124799.41951424352
2026-03-19,122005.99515433381
2026-03-20,121133.82942373007
2026-03-23,121350.42730441951
2026-03-24,122545.45688862052
2026-03-25,124215.70807094699
2026-03-26,122981.32797060817
2026-03-27,123167.57320782305
2026-03-30,125796.67937622636
2026-03-31,126474.19618509528
